trade_rows,executed_trades,abstains,unique_events,wins,losses,hit_rate,total_net_pnl,mean_net_pnl,median_net_pnl,std_net_pnl,min_net_pnl,max_net_pnl,total_stake,aggregate_roi_on_stake,avg_entry_yes,avg_history_points,breakdown,venue,entry_year,month,quarter,side,category,entry_yes_bin
5.0,1.0,4.0,1.0,1.0,0.0,1.0,0.3,0.3,0.3,,0.3,0.3,0.7,0.4285714285714286,0.7,29.0,month,,,2022-06,,,,
7.0,6.0,1.0,6.0,5.0,1.0,0.8333333333333334,0.125,0.020833333333333332,0.20249999999999996,0.4609708956828692,-0.895,0.33,4.875,0.02564102564102564,0.7141666666666667,78.33333333333333,month,,,2022-07,,,,
4.0,1.0,3.0,1.0,1.0,0.0,1.0,0.15,0.15,0.15,,0.15,0.15,0.85,0.17647058823529413,0.85,22.0,month,,,2022-08,,,,
6.0,3.0,3.0,3.0,0.0,3.0,0.0,-2.085,-0.695,-0.69,0.047696960070847276,-0.745,-0.65,2.085,-1.0,0.46833333333333327,56.333333333333336,month,,,2022-09,,,,
7.0,4.0,3.0,4.0,4.0,0.0,1.0,0.46499999999999975,0.11624999999999994,0.0874999999999999,0.09303897032964199,0.04,0.25,3.535,0.13154172560113148,0.88375,43.75,month,,,2022-10,,,,
3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.3349999999999999,0.3349999999999999,0.3349999999999999,,0.3349999999999999,0.3349999999999999,0.665,0.5037593984962404,0.335,3.0,month,,,2022-11,,,,
2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.15999999999999992,0.07999999999999996,0.07999999999999996,0.014142135623730874,0.07,0.0899999999999999,1.84,0.08695652173913039,0.92,29.0,month,,,2022-12,,,,
7.0,5.0,2.0,5.0,5.0,0.0,1.0,0.16499922226269734,0.032999844452539465,0.01,0.05426793661177801,0.005,0.13,4.835,0.03412600253623523,0.231,14.4,month,,,2023-01,,,,
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.015,0.015,0.015,,0.015,0.015,0.985,0.015228426395939085,0.985,19.0,month,,,2023-02,,,,
3.0,2.0,1.0,2.0,1.0,0.0,0.5,0.015,0.0075,0.0075,0.010606601717798213,0.0,0.015,1.9849999999999999,0.007556675062972292,0.4975,8.5,month,,,2023-03,,,,
5.0,4.0,1.0,4.0,4.0,0.0,1.0,0.15,0.0375,0.045,0.018929694486000914,0.01,0.05,3.8499999999999996,0.03896103896103896,0.72,24.0,month,,,2023-04,,,,
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.05,0.05,0.05,,0.05,0.05,0.95,0.052631578947368425,0.05,14.0,month,,,2023-05,,,,
2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.3949999999999999,0.19749999999999995,0.19749999999999995,0.13081475451951136,0.1049999999999999,0.29,1.605,0.2461059190031152,0.5925,27.5,month,,,2023-06,,,,
5.0,5.0,0.0,4.0,5.0,0.0,1.0,0.15500000000000003,0.031000000000000007,0.015,0.026551836094703504,0.01,0.06,4.845000000000001,0.031991744066047476,0.7729999999999999,15.0,month,,,2023-07,,,,
4.0,3.0,1.0,3.0,3.0,0.0,1.0,0.15,0.049999999999999996,0.045,0.04769696007084728,0.005,0.1,2.8499999999999996,0.052631578947368425,0.9499999999999998,9.666666666666666,month,,,2023-09,,,,
6.0,5.0,1.0,5.0,5.0,0.0,1.0,0.155,0.031,0.03,0.01673320053068151,0.01,0.05,4.845,0.031991744066047476,0.969,7.8,month,,,2023-10,,,,
2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.046,0.023,0.023,0.009899494936611665,0.016,0.03,1.954,0.02354145342886387,0.977,16.5,month,,,2023-11,,,,
3.0,3.0,0.0,3.0,2.0,1.0,0.6666666666666666,-0.583,-0.19433333333333333,0.007,0.45937602607595157,-0.72,0.13,2.583,-0.22570654277971347,0.38566666666666666,13.333333333333334,month,,,2023-12,,,,
4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.29000000000000004,0.07250000000000001,0.015,0.11842719282327012,0.01,0.25,3.71,0.07816711590296498,0.6824999999999999,8.75,month,,,2024-01,,,,
2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.025,0.025,0.025,,0.025,0.025,0.975,0.025641025641025644,0.975,3.0,month,,,2024-02,,,,
6.0,5.0,1.0,5.0,5.0,0.0,1.0,0.08299999999999978,0.016599999999999955,0.015,0.012386484569885023,0.0024999999999999,0.0354999999999999,4.917,0.016880211511083952,0.21059999999999998,18.2,month,,,2024-03,,,,
5.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0474999999999999,0.011874999999999976,0.011249999999999951,0.0023935677693908363,0.01,0.015,3.9525000000000006,0.012017710309930398,0.499375,10.0,month,,,2024-04,,,,
3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.2614999999999999,0.08716666666666663,0.0064999999999999,0.14101979766448874,0.005,0.25,2.7385,0.09549023187876571,0.4171666666666667,9.666666666666666,month,,,2024-05,,,,
7.0,6.0,1.0,6.0,5.0,1.0,0.8333333333333334,-0.27500000000000036,-0.04583333333333339,0.06499999999999995,0.3931210585388001,-0.8300000000000001,0.2299999999999999,5.275,-0.052132701421801014,0.39083333333333337,21.0,month,,,2024-06,,,,
4.0,3.0,1.0,3.0,3.0,0.0,1.0,0.1954999999999999,0.06516666666666664,0.04,0.0754657759075817,0.0054999999999999,0.15,2.8045,0.06970939561419144,0.2985,34.0,month,,,2024-07,,,,
4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.2234999999999999,0.05587499999999997,0.025,0.07327843589124068,0.0084999999999999,0.165,3.7765,0.05918178207334831,0.530875,10.0,month,,,2024-08,,,,
8.0,5.0,3.0,5.0,5.0,0.0,1.0,0.3304999999999998,0.06609999999999996,0.0154999999999999,0.09242456383451314,0.005,0.2249999999999999,4.6695,0.0707784559374665,0.43210000000000004,23.0,month,,,2024-09,,,,
6.0,4.0,2.0,3.0,4.0,0.0,1.0,0.15399999999999991,0.03849999999999998,0.0235,0.04406434688800757,0.004,0.1029999999999999,3.8459999999999996,0.04004160166406654,0.477,11.75,month,,,2024-10,,,,
3.0,3.0,0.0,3.0,3.0,0.0,1.0,0.3699999999999999,0.1233333333333333,0.14,0.10598742063723093,0.01,0.2199999999999999,2.63,0.1406844106463878,0.44999999999999996,11.333333333333334,month,,,2024-11,,,,
14.0,14.0,0.0,14.0,13.0,1.0,0.9285714285714286,0.01699999999999946,0.0012142857142856758,0.055,0.23244219416098627,-0.79,0.18,12.982999999999997,0.0013094046060232198,0.21121428571428572,17.071428571428573,month,,,2024-12,,,,
19.0,19.0,0.0,16.0,18.0,1.0,0.9473684210526315,1.1364999999999994,0.059815789473684176,0.0599999999999999,0.23641966045139567,-0.82,0.3400000000000001,16.7535,0.06783657146267941,0.25876315789473686,19.05263157894737,month,,,2025-01,,,,
15.0,14.0,1.0,12.0,14.0,0.0,1.0,0.9809999999999997,0.07007142857142855,0.05999999999999995,0.05765342645860332,0.001,0.17,12.949,0.07575874584910029,0.28992857142857137,11.857142857142858,month,,,2025-02,,,,
14.0,13.0,1.0,9.0,12.0,1.0,0.9230769230769231,-0.49950000000000006,-0.03842307692307693,0.02,0.2516617973718106,-0.87,0.125,12.429499999999999,-0.040186652721348415,0.25311538461538463,16.0,month,,,2025-03,,,,
18.0,17.0,1.0,15.0,17.0,0.0,1.0,1.5834999999999997,0.09314705882352939,0.04,0.1070887139107517,8.673617379884035e-18,0.33,15.3365,0.10325041567502362,0.28314705882352936,26.470588235294116,month,,,2025-04,,,,
18.0,18.0,0.0,16.0,18.0,0.0,1.0,0.8950000000000001,0.04972222222222223,0.035,0.062201575122438964,8.673617379884035e-18,0.24,16.974999999999998,0.052724594992636244,0.21416666666666664,32.666666666666664,month,,,2025-05,,,,
22.0,18.0,4.0,17.0,17.0,1.0,0.9444444444444444,-0.025500000000000314,-0.0014166666666666841,0.01,0.22936980479771343,-0.86,0.275,16.9455,-0.0015048242896344348,0.13802777777777775,55.333333333333336,month,,,2025-06,,,,
22.0,19.0,3.0,14.0,17.0,2.0,0.8947368421052632,-0.8265000000000005,-0.043500000000000025,0.0114999999999999,0.2652770040710067,-0.88,0.1799999999999999,17.7565,-0.04654633514487655,0.31176315789473685,65.3157894736842,month,,,2025-07,,,,
18.0,18.0,0.0,14.0,17.0,1.0,0.9444444444444444,-0.28600000000000003,-0.01588888888888889,0.0125,0.16778343495634973,-0.675,0.14,17.185999999999996,-0.016641452344931928,0.37022222222222223,66.77777777777777,month,,,2025-08,,,,
50.0,43.0,7.0,39.0,38.0,5.0,0.8837209302325582,1.4479999999999988,0.03367441860465114,0.135,0.32368979277860876,-0.96,0.3249999999999999,36.452,0.039723471963129565,0.561813953488372,30.0,month,,,2025-09,,,,
241.0,128.0,113.0,125.0,102.0,26.0,0.796875,0.7919999999999954,0.006187499999999964,0.1999999999999999,0.3934680649178993,-0.885,0.3399999999999999,101.128,0.007831658887746177,0.6950390625,16.328125,month,,,2025-10,,,,
140.0,78.0,62.0,76.0,69.0,9.0,0.8846153846153846,3.2114999999999982,0.0411730769230769,0.1375,0.30116921320085155,-0.865,0.3399999999999999,65.6885,0.048889836120477675,0.6639935897435898,15.602564102564102,month,,,2025-11,,,,
61.0,52.0,9.0,49.0,46.0,6.0,0.8846153846153846,-1.5215000000000012,-0.029259615384615408,0.0325,0.3071211597537307,-0.915,0.3349999999999999,47.1715,-0.03225464528369887,0.3993942307692308,67.09615384615384,month,,,2025-12,,,,
158.0,132.0,26.0,125.0,105.0,27.0,0.7954545454545454,-3.7160000000000033,-0.028151515151515177,0.1024999999999999,0.38333719903712155,-0.935,0.3399999999999999,108.556,-0.034231180220347136,0.6184924242424243,21.53030303030303,month,,,2026-01,,,,
182.0,133.0,49.0,126.0,105.0,28.0,0.7894736842105263,-1.047500000000003,-0.007875939849624083,0.175,0.3894664347676999,-0.915,0.3399999999999999,105.92750000000001,-0.009888839064454489,0.6221992481203007,16.37593984962406,month,,,2026-02,,,,
68.0,44.0,24.0,40.0,38.0,6.0,0.8636363636363636,-0.985000000000001,-0.02238636363636366,0.035,0.33479431143989863,-0.9,0.345,38.885,-0.02533110453902536,0.47011363636363623,32.81818181818182,month,,,2026-03,,,,
262.0,96.0,166.0,91.0,88.0,8.0,0.9166666666666666,5.522999999999996,0.05753124999999996,0.09774999999999995,0.27949877894940883,-0.945,0.35,82.39699999999999,0.06702913941041538,0.6845,16.84375,month,,,2026-04,,,,
113.0,81.0,32.0,77.0,75.0,6.0,0.9259259259259259,3.8534999999999986,0.04757407407407405,0.1049999999999999,0.24955392842919633,-0.865,0.3400000000000001,71.04650000000001,0.05423912508005318,0.7174382716049382,22.82716049382716,month,,,2026-05,,,,
72.0,43.0,29.0,41.0,37.0,6.0,0.8604651162790697,-0.47050000000000114,-0.010941860465116306,0.06,0.34573083752466144,-0.99,0.3249999999999999,37.4405,-0.012566605681013907,0.46161627906976743,19.6046511627907,month,,,2026-06,,,,
272.0,177.0,95.0,173.0,146.0,31.0,0.8248587570621468,-1.658000000000004,-0.009367231638418102,0.13,0.36844339819045957,-0.9565,0.345,147.518,-0.011239306389728738,0.6914519774011298,11.757062146892656,month,,,2026-07,,,,
8.0,3.0,5.0,3.0,1.0,2.0,0.3333333333333333,-1.4449999999999998,-0.48166666666666663,-0.745,0.6465549731719131,-0.955,0.255,2.445,-0.591002044989775,0.5116666666666666,11.0,month,,,2026-08,,,,
16.0,3.0,13.0,3.0,2.0,1.0,0.6666666666666666,-0.3100000000000002,-0.1033333333333334,0.1049999999999999,0.5292053791613738,-0.7050000000000001,0.29,2.31,-0.1341991341991343,0.6333333333333333,36.666666666666664,quarter,,,,2021Q3,,,
19.0,6.0,13.0,6.0,6.0,0.0,1.0,0.7999999999999998,0.1333333333333333,0.08499999999999995,0.11621818561080129,0.035,0.3349999999999999,5.2,0.1538461538461538,0.6633333333333333,43.0,quarter,,,,2021Q4,,,
16.0,7.0,9.0,7.0,5.0,2.0,0.7142857142857143,-0.9699999999999998,-0.13857142857142854,0.0849999999999999,0.5347329106332297,-0.99,0.3,5.97,-0.16247906197654938,0.79,55.857142857142854,quarter,,,,2022Q1,,,
17.0,6.0,11.0,6.0,5.0,1.0,0.8333333333333334,-0.09000000000000014,-0.015000000000000022,0.06249999999999995,0.40276544042407614,-0.8,0.3,5.09,-0.017681728880157198,0.8483333333333333,63.333333333333336,quarter,,,,2022Q2,,,
17.0,10.0,7.0,10.0,6.0,4.0,0.6,-1.8099999999999996,-0.18099999999999997,0.08249999999999999,0.495937944146689,-0.895,0.33,7.8100000000000005,-0.23175416133162605,0.654,66.1,quarter,,,,2022Q3,,,
12.0,7.0,5.0,7.0,7.0,0.0,1.0,0.9599999999999995,0.13714285714285707,0.0899999999999999,0.1107496103400648,0.04,0.3349999999999999,6.04,0.1589403973509933,0.8157142857142857,33.714285714285715,quarter,,,,2022Q4,,,
11.0,8.0,3.0,8.0,7.0,0.0,0.875,0.19499922226269734,0.024374902782837167,0.01,0.042964931481511294,0.0,0.13,7.805,0.024983884979205298,0.391875,13.5,quarter,,,,2023Q1,,,
8.0,7.0,1.0,7.0,7.0,0.0,1.0,0.595,0.08499999999999999,0.05,0.09464847243000454,0.01,0.29,6.405,0.09289617486338797,0.5878571428571427,23.571428571428573,quarter,,,,2023Q2,,,
9.0,8.0,1.0,7.0,8.0,0.0,1.0,0.305,0.038125,0.03,0.033905067046513436,0.005,0.1,7.695,0.0396361273554256,0.839375,13.0,quarter,,,,2023Q3,,,
11.0,10.0,1.0,10.0,9.0,1.0,0.9,-0.38199999999999995,-0.0382,0.025,0.24217477618906189,-0.72,0.13,9.382,-0.04071626518865913,0.7956,11.2,quarter,,,,2023Q4,,,
12.0,10.0,2.0,10.0,10.0,0.0,1.0,0.39799999999999985,0.03979999999999999,0.0175,0.07444319236094654,0.0024999999999999,0.25,9.602,0.04144969797958757,0.4758,12.9,quarter,,,,2024Q1,,,
15.0,13.0,2.0,13.0,12.0,1.0,0.9230769230769231,0.033999999999999586,0.0026153846153845837,0.015,0.2658922991430736,-0.8300000000000001,0.25,11.966,0.002841383921109777,0.43030769230769234,15.0,quarter,,,,2024Q2,,,
16.0,12.0,4.0,12.0,12.0,0.0,1.0,0.7494999999999996,0.0624583333333333,0.025,0.07503346475628947,0.005,0.2249999999999999,11.250499999999999,0.06661926136616148,0.4316249999999999,21.416666666666668,quarter,,,,2024Q3,,,
23.0,21.0,2.0,20.0,20.0,1.0,0.9523809523809523,0.5409999999999993,0.025761904761904725,0.05,0.19599991192903757,-0.79,0.2199999999999999,19.459,0.02780204532607016,0.29595238095238097,15.238095238095237,quarter,,,,2024Q4,,,
48.0,46.0,2.0,35.0,44.0,2.0,0.9565217391304348,1.6179999999999994,0.03517391304347825,0.04,0.20592949757384077,-0.87,0.3400000000000001,42.132,0.03840311402259564,0.2666521739130434,16.0,quarter,,,,2025Q1,,,
58.0,53.0,5.0,47.0,52.0,1.0,0.9811320754716981,2.452999999999999,0.046283018867924505,0.04,0.15330611375215306,-0.86,0.33,49.257,0.049800028422356195,0.21043396226415093,38.37735849056604,quarter,,,,2025Q2,,,
90.0,80.0,10.0,65.0,72.0,8.0,0.9,0.3354999999999987,0.004193749999999984,0.024749999999999953,0.28090427548501196,-0.96,0.3249999999999999,71.39450000000001,0.004699241538213709,0.45931875,46.6625,quarter,,,,2025Q3,,,
442.0,258.0,184.0,249.0,217.0,41.0,0.8410852713178295,2.481999999999992,0.00962015503875966,0.15,0.35073108622577504,-0.915,0.3399999999999999,213.988,0.0115987812400695,0.6260658914728683,26.34108527131783,quarter,,,,2025Q4,,,
408.0,309.0,99.0,289.0,248.0,61.0,0.8025889967637541,-5.748500000000006,-0.018603559870550183,0.1149999999999999,0.37848009514682684,-0.935,0.345,253.36849999999995,-0.022688297874439826,0.5989595469255664,20.919093851132686,quarter,,,,2026Q1,,,
447.0,220.0,227.0,207.0,200.0,20.0,0.9090909090909091,8.905999999999992,0.04048181818181815,0.0999999999999999,0.2832417761868843,-0.99,0.35,190.88400000000001,0.04665660820183981,0.6530636363636364,19.586363636363636,quarter,,,,2026Q2,,,
280.0,180.0,100.0,176.0,147.0,33.0,0.8166666666666667,-3.103000000000004,-0.01723888888888891,0.13,0.37659313898948565,-0.9565,0.345,149.96300000000002,-0.020691770636757093,0.6884555555555555,11.744444444444444,quarter,,,,2026Q3,,,
701.0,0.0,701.0,0.0,0.0,0.0,,0.0,,,,,,,,,,side,,,,,ABSTAIN,,
405.0,405.0,0.0,370.0,376.0,28.0,0.928395061728395,1.8249992222626887,0.0045061709191671325,0.02,0.23255757418742162,-0.99,0.345,373.375,0.004887845255474225,0.08193827160493827,27.439506172839508,side,,,,,BUY_NO,,
869.0,869.0,0.0,868.0,720.0,149.0,0.8285385500575374,6.133499999999977,0.00705811277330262,0.145,0.36483430178584897,-0.99,0.35,713.5965,0.00859519350221025,0.8211697353279631,21.287686996547755,side,,,,,BUY_YES,,
3.0,0.0,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,venue_side,FORECASTEX,,,,ABSTAIN,,
180.0,180.0,0.0,180.0,178.0,2.0,0.9888888888888889,3.8799999999999972,0.02155555555555554,0.01,0.10332366146842989,-0.96,0.24,172.32,0.0225162488393686,0.051222222222222225,11.3,venue_side,FORECASTEX,,,,BUY_NO,,
2.0,2.0,0.0,2.0,1.0,1.0,0.5,-0.71,-0.355,-0.355,0.5020458146424487,-0.71,8.673617379884035e-18,1.69,-0.42011834319526625,0.845,11.0,venue_side,FORECASTEX,,,,BUY_YES,,
126.0,0.0,126.0,0.0,0.0,0.0,,0.0,,,,,,,,,,venue_side,KALSHI,,,,ABSTAIN,,
62.0,62.0,0.0,62.0,55.0,7.0,0.8870967741935484,-1.5645,-0.025233870967741937,0.0275,0.2917751452597142,-0.99,0.3400000000000001,56.564499999999995,-0.027658690521440127,0.08766935483870968,115.03225806451613,venue_side,KALSHI,,,,BUY_NO,,
167.0,167.0,0.0,167.0,153.0,14.0,0.9161676646706587,0.7494999999999966,0.004488023952095788,0.0349999999999999,0.2633170757581641,-0.99,0.3400000000000001,152.0005,0.004930904832549871,0.9101826347305388,67.92215568862275,venue_side,KALSHI,,,,BUY_YES,,
572.0,0.0,572.0,0.0,0.0,0.0,,0.0,,,,,,,,,,venue_side,POLYMARKET,,,,ABSTAIN,,
163.0,163.0,0.0,163.0,143.0,19.0,0.8773006134969326,-0.4905007777373094,-0.003009207225382266,0.0334999999999999,0.3005048706078176,-0.9565,0.345,144.4905,-0.0033946922305432494,0.11367791411042943,11.94478527607362,venue_side,POLYMARKET,,,,BUY_NO,,
700.0,700.0,0.0,700.0,566.0,134.0,0.8085714285714286,6.093999999999975,0.00870571428571425,0.165,0.384810580601651,-0.95,0.35,559.9060000000001,0.01088396980921793,0.7998657142857144,10.191428571428572,venue_side,POLYMARKET,,,,BUY_YES,,
5.0,4.0,1.0,4.0,4.0,0.0,1.0,0.2824999999999999,0.07062499999999998,0.04,0.0738346971281118,0.0224999999999999,0.18,3.7175000000000002,0.07599193006052452,0.070625,118.25,category,,,,,,ANTITRUST_ENFORCEMENT_SINGLE_NAME,
51.0,47.0,4.0,47.0,43.0,4.0,0.9148936170212766,1.381999999999999,0.029404255319148916,0.04,0.27554753078303756,-0.86,0.3400000000000001,41.617999999999995,0.033206785525493755,0.213531914893617,84.70212765957447,category,,,,,,CORPORATE_LITIGATION_BINARY,
114.0,72.0,42.0,71.0,63.0,9.0,0.875,-4.1325,-0.05739583333333334,0.02174999999999995,0.3018734920354253,-0.99,0.25,66.8825,-0.061787463088251796,0.8413541666666666,57.236111111111114,category,,,,,,CPI_INFLATION_RELEASE,
