label,bin,bin_left,bin_right,n,mean_predicted_yes,mean_realized_yes,calibration_gap,abs_gap
YEAR:2025,8,0.8,0.9,93,0.8381344086021505,0.8602150537634409,0.02208064516129038,0.02208064516129038
YEAR:2025,9,0.9,1.0,42,0.9624761904761903,0.9761904761904762,0.013714285714285901,0.013714285714285901
YEAR:2026,0,0.0,0.1,124,0.02982258064516129,0.03225806451612903,0.002435483870967741,0.002435483870967741
YEAR:2026,1,0.1,0.2,13,0.12230769230769233,0.07692307692307693,-0.0453846153846154,0.0453846153846154
YEAR:2026,2,0.2,0.30000000000000004,21,0.24959523809523812,0.23809523809523808,-0.011500000000000038,0.011500000000000038
YEAR:2026,3,0.30000000000000004,0.4,22,0.3538636363636363,0.4090909090909091,0.05522727272727279,0.05522727272727279
YEAR:2026,4,0.4,0.5,75,0.47066666666666673,0.64,0.16933333333333328,0.16933333333333328
YEAR:2026,5,0.5,0.6000000000000001,305,0.5091967213114754,0.7114754098360656,0.2022786885245902,0.2022786885245902
YEAR:2026,6,0.6000000000000001,0.7000000000000001,99,0.657929292929293,0.6161616161616161,-0.0417676767676769,0.0417676767676769
YEAR:2026,7,0.7000000000000001,0.8,158,0.7465822784810127,0.7531645569620253,0.006582278481012671,0.006582278481012671
YEAR:2026,8,0.8,0.9,217,0.844758064516129,0.8663594470046083,0.021601382488479315,0.021601382488479315
YEAR:2026,9,0.9,1.0,101,0.9337871287128714,0.9207920792079208,-0.012995049504950562,0.012995049504950562
