feature_a,feature_b,n_overlap,spearman_rho,pearson_r,abs_spearman,near_duplicate_flag,high_overlap_flag
delta_24h,signed_count_imbalance,113,0.01564949,-0.12781868,0.01564949,false,false
log_trade_count,max_hourly_jump_24h,115,0.01481349,-0.06584827,0.01481349,false,false
max_hourly_jump_24h,trade_count,115,0.01481349,-0.05503894,0.01481349,false,false
acceleration_proxy_1h_vs_6h,signed_notional_imbalance,115,0.01357345,0.05310823,0.01357345,false,false
log_wallet_count,same_side_transition_share,115,-0.01333617,-0.05641552,0.01333617,false,false
same_side_transition_share,wallet_count,115,-0.01333617,0.07494159,0.01333617,false,false
acceleration_proxy_1h_vs_6h,path_roughness_24h,115,0.01238103,-0.04911638,0.01238103,false,false
price_last,wallet_hhi_notional,115,-0.01154760,-0.04978465,0.01154760,false,false
log_wallet_count,signed_count_imbalance,115,-0.01121795,0.02606038,0.01121795,false,false
signed_count_imbalance,wallet_count,115,-0.01121795,0.05953719,0.01121795,false,false
same_side_transition_share,top_wallet_notional_share,115,-0.01115035,0.04501290,0.01115035,false,false
same_side_transition_share,wallet_hhi_notional,115,0.01088994,0.04267785,0.01088994,false,false
cusum_proxy_24h,delta_1h,115,-0.00952558,-0.23247463,0.00952558,false,false
delta_1h,max_hourly_jump_24h,115,0.00742363,-0.21364619,0.00742363,false,false
max_run_share,vol_scaled_delta_6h,113,0.00686631,0.01169655,0.00686631,false,false
acceleration_proxy_1h_vs_6h,delta_24h,113,-0.00685041,0.22675482,0.00685041,false,false
log_total_notional,sign_consistency_1_6_24h,113,-0.00593749,-0.02845716,0.00593749,false,false
sign_consistency_1_6_24h,total_collateral_notional,113,-0.00593749,0.04947489,0.00593749,false,false
log_wallet_count,max_hourly_jump_24h,115,-0.00545365,-0.07372691,0.00545365,false,false
max_hourly_jump_24h,wallet_count,115,-0.00545365,-0.05728846,0.00545365,false,false
acceleration_proxy_1h_vs_6h,log_total_notional,115,-0.00525235,-0.07784913,0.00525235,false,false
acceleration_proxy_1h_vs_6h,total_collateral_notional,115,-0.00525235,0.03211043,0.00525235,false,false
signed_notional_imbalance,vol_scaled_delta_6h,113,0.00412101,0.05647870,0.00412101,false,false
delta_1h,price_last,115,0.00371713,0.13088241,0.00371713,false,false
delta_1h,log_total_notional,115,-0.00127198,-0.08675489,0.00127198,false,false
delta_1h,total_collateral_notional,115,-0.00127198,0.02399563,0.00127198,false,false
acceleration_proxy_1h_vs_6h,hourly_realized_scale_24h,115,0.00056078,-0.14432974,0.00056078,false,false
