exact_group_id,ticker,event_date,pit_timestamp,safe_cutoff_utc,pit_probability,m2_probability,market_id,event_key,token_id,source_file,join_key,signal_map_version
W4CE1-7d705411f26ffc4286d2,MTB,2026-07-15,2026-07-14T19:59:09Z,2026-07-14T20:00:00Z,0.82,0.82,2775497,MTB|2026-07-15,24101287595123514179585292905861020434825846994366154260270053829171419853480,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-7d7af0f1102b070898fc,DG,2025-12-04,2025-12-03T20:59:07Z,2025-12-03T21:00:00Z,0.85,0.85,697463,DG|2025-12-04,105009326315619815513813732422062258084996706813123278513573709453843490102254,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-7df957190e5d7a6b4016,QCOM,2026-02-04,2026-02-03T20:59:17Z,2026-02-03T21:00:00Z,0.88,0.88,1238099,QCOM|2026-02-04,63494052079246580398055729529454646196456930731564568807642302096242821023193,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-89eac00eb849189bff78,PANW,2026-06-02,2026-06-01T19:59:03Z,2026-06-01T20:00:00Z,0.945,0.945,2312767,PANW|2026-06-02,109207118213599782049673454573711076845415441518466748661711720142254112629660,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-8bce06dbd3275b9060dc,SBUX,2025-10-29,2025-10-28T19:59:07Z,2025-10-28T20:00:00Z,0.325,0.325,643045,SBUX|2025-10-29,92911550058432984857002655091220185996953557966777918829088260388911541757450,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-8db5e4c61ba02c12b490,SG,2025-11-06,2025-11-05T20:59:07Z,2025-11-05T21:00:00Z,0.36,0.36,658498,SG|2025-11-06,48002902989057635629885393016603720841941314805838997902473399454882374684148,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-8ff89e6c1a10f7e0e792,IBM,2026-01-28,2026-01-27T20:59:13Z,2026-01-27T21:00:00Z,0.91,0.91,1244920,IBM|2026-01-28,85360707061678206048437365560456397637526050843630170536628143645483338178868,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-919bc6c61318821db631,KO,2026-04-28,2026-04-27T19:59:04Z,2026-04-27T20:00:00Z,0.915,0.915,1986797,KO|2026-04-28,23475915407405061034873069009880399404925964576893476550572745059928882327123,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-946ebb8eda7d594c4a7c,ANF,2026-03-04,2026-03-03T20:58:30Z,2026-03-03T21:00:00Z,0.73,0.73,1403526,ANF|2026-03-04,109343996176069492713642533808736439402386112393447094171685478588860862073124,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-99d8cecbb5fc335f485f,GRAB,2026-05-04,2026-05-01T19:34:19Z,2026-05-01T20:00:00Z,0.575,0.575,2039915,GRAB|2026-05-04,14119168945048349564078476229244687235724816888660672680065994012113607295285,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
